,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,company_profile_length,requirements_length,benefits_length
4508,App Support Specialist,US,0,1,1,Full-time,Associate,Bachelor's Degree,Information Services,Quality Assurance,0,1376.0,847.0,816.0,378.0
4509,"Producer, Hausa Language",US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0,1242.0,1260.0,420.0,
4510,Russian-Ukrainian Social Media Specialist,US,0,1,0,Full-time,Mid-Senior level,,Broadcast Media,,0,1193.0,1260.0,297.0,
4511,Product Manager,US,0,1,0,Full-time,,Bachelor's Degree,Computer Software,,0,1668.0,133.0,408.0,304.0
4512,45 min Veteran Interview - $100 gift card,US,0,0,0,Temporary,Not Applicable,,,,0,1023.0,,45.0,88.0
4513,Graduate Support Desk Supremo,IE,0,1,1,Full-time,Entry level,,Information Technology and Services,Information Technology,0,3451.0,1626.0,,
4514,Affiliate Agent,GB,0,0,0,Other,Not Applicable,Unspecified,Apparel & Fashion,Marketing,0,1006.0,,30.0,189.0
4515,.NET Web Developer,NZ,0,1,1,,,,,,0,370.0,2035.0,1086.0,
4516,B2B Growth Hacker,US,0,1,1,Full-time,Associate,,Computer Software,Marketing,0,2362.0,652.0,400.0,1098.0
4517,Soucing Specialist ,US,0,0,0,Full-time,Associate,Associate Degree,Hospital & Health Care,Other,0,929.0,,507.0,64.0
4518,Van Foreman / Driver - Class A,US,0,1,0,Full-time,Not Applicable,High School or equivalent,Transportation/Trucking/Railroad,Other,0,717.0,460.0,287.0,463.0
4519,Video Tape Editor,US,0,1,0,,,,,,0,266.0,1260.0,655.0,
4520,Data Entry,US,0,0,0,,,,,,0,1219.0,,198.0,412.0
4521,.Net Developer ( Classic ASP ),US,0,1,0,Contract,Mid-Senior level,,,Information Technology,0,444.0,891.0,273.0,
4522,Branch Manager,US,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Staffing and Recruiting,Management,0,654.0,,6.0,98.0
4523,Servers And Bartenders,US,0,1,0,Full-time,Not Applicable,Unspecified,Food & Beverages,,0,439.0,695.0,131.0,3.0
4524,Senior Developer at Growth Intelligence,GB,0,1,1,,Mid-Senior level,,,,0,981.0,618.0,544.0,266.0
4525,Maintenance Technician,US,0,0,0,Full-time,,,Facilities Services,,0,1196.0,228.0,,
4526,Infrastructure Developer  (Ruby / node.js / Erlang),DE,0,1,1,,,,,,0,2037.0,,1309.0,1000.0
4527,Full-time Updater (Office) Positions Available,US,0,0,0,Full-time,Entry level,,Construction,,0,457.0,,490.0,71.0
4528,Human Resources and Safety Manager,US,0,1,1,,,,,,0,1913.0,608.0,,
4529,Editorial Production Assistant,GR,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Production,0,951.0,619.0,624.0,325.0
4530,"Video Journalist, Persian/Farsi Programming",US,0,1,0,,,,,,0,437.0,1260.0,1025.0,
4531,Sr. Designer,US,0,1,0,Full-time,Mid-Senior level,Unspecified,Computer Software,Art/Creative,0,3123.0,759.0,1636.0,275.0
4532,Mirfield Warehousing Apprenticeship Under NAS 16-18 Year Olds Only ,GB,0,1,1,Full-time,Not Applicable,High School or equivalent,Warehousing,,0,620.0,831.0,70.0,17.0
4533,Contract Recruiter,US,0,1,1,Contract,Not Applicable,,Staffing and Recruiting,Human Resources,0,1494.0,938.0,516.0,
4534,Audience Development Intern,US,0,1,0,Other,Internship,,,Marketing,0,909.0,885.0,852.0,
4535,Senior Finance Consultant,US,0,0,0,Full-time,Associate,Master's Degree,Accounting,Finance,0,1712.0,,1116.0,21.0
4536,Customer Service Representative,US,1,1,0,Full-time,Entry level,High School or equivalent,Real Estate,Customer Service,1,408.0,643.0,64.0,37.0
4537,Provisions Food Stylist & Sourcing Associate,US,0,1,1,Full-time,Associate,,Online Media,,0,1067.0,885.0,590.0,
4538,Development Director,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education Management,Other,0,2146.0,1022.0,696.0,
4539,Java Developer,NZ,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,869.0,,720.0,493.0
4540,Operations Manager,NZ,0,1,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Information Technology,0,3097.0,1715.0,1480.0,857.0
4541,Lobby Ambassador ,US,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,5453.0,684.0,714.0,
4542,"International Broadcaster, Armenian Language",US,0,1,0,,,,,,0,396.0,1260.0,1733.0,
4543,Systems Engineer - NYC,US,0,1,0,Full-time,Not Applicable,Unspecified,Information Technology and Services,Information Technology,0,853.0,1200.0,190.0,
4544,Car Dealer Sales Manager/Customer Service,GR,0,1,0,Full-time,Mid-Senior level,Unspecified,Retail,Sales,0,87.0,1358.0,82.0,
4545,Account Executive - Charlotte,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2686.0,734.0,1433.0,786.0
4546,Brand Ambassador,GB,0,1,0,Other,Mid-Senior level,,Hospitality,Business Development,0,1287.0,549.0,538.0,47.0
4547,"Producer, Dari and Pashto Languages",US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0,1242.0,1260.0,388.0,
4548,Marketing Analyst,GR,0,1,0,Full-time,,,,Marketing,0,1996.0,701.0,655.0,196.0
4549,Senior Producer / Project Manager,FR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0,1452.0,737.0,754.0,137.0
4550,Websphere Architect,US,0,0,0,,,,,,0,2105.0,,,
4551,Control Engineer,US,0,0,0,Full-time,,,Automotive,,0,1139.0,228.0,,
4552,iOS Developer,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Media Production,Information Technology,0,575.0,541.0,311.0,
4553,Security Integrator,CA,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Engineering,0,1003.0,705.0,1207.0,
4554,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4555,Recruiter - Writer Relations,GB,0,0,1,Part-time,Associate,Bachelor's Degree,Education Management,Human Resources,0,664.0,,737.0,54.0
4556,"freelancers, students required in Web Related Field",IN,0,0,1,,,,,,0,223.0,,73.0,
4557,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4558,Graduates: English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,236.0,53.0,160.0,19.0
4559,Advertising Manager,GR,0,1,1,Full-time,Associate,Unspecified,Internet,Advertising,0,552.0,741.0,689.0,108.0
4560,Consultant - Professional Services Team,US,1,1,1,,,,,,0,1663.0,1269.0,996.0,186.0
4561,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,456.0,53.0,118.0,19.0
4562,Account Executive - Boston,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2686.0,734.0,1433.0,786.0
4563,"Video Journalist, Russian Language",US,0,1,0,,,,,,0,437.0,1260.0,1021.0,
4564,Used Car Sales Representative,GB,0,1,1,Full-time,Associate,High School or equivalent,Automotive,Sales,0,1304.0,1557.0,309.0,191.0
4565,Customer Service Rep,US,0,0,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Administrative,1,642.0,,1039.0,196.0
4566,Android developer (internship),BE,0,1,0,Full-time,Internship,Unspecified,Hospitality,Information Technology,0,969.0,1150.0,786.0,401.0
4567,"Writer, English Service",US,0,1,0,,,,,,0,532.0,1260.0,862.0,
4568,IT Recruitment Consultant,GB,0,1,0,Full-time,,Unspecified,Staffing and Recruiting,Sales,0,1074.0,56.0,35.0,75.0
4569,Alternative payment Advisor,US,1,0,1,Full-time,Director,Bachelor's Degree,Banking,Information Technology,0,1794.0,,1344.0,13.0
4570,PHP Web Developer,NZ,0,1,1,,,,,,0,356.0,2035.0,1419.0,
4571,"Manager, Market Research and Analysis",US,0,1,1,Full-time,,,,,0,2442.0,235.0,,
4572,CARETAKER COUPLE LIVE IN,GB,0,0,0,,,,,,0,634.0,,,47.0
4573,"Project Manager, OVP Delivery",ES,0,0,0,Full-time,Mid-Senior level,,Entertainment,,0,1131.0,438.0,776.0,416.0
4574,Tax Preparer,US,0,1,0,Contract,Not Applicable,High School or equivalent,,,0,366.0,546.0,53.0,
4575,PR/Account Manager,US,0,1,1,Full-time,Associate,Bachelor's Degree,Public Relations and Communications,Public Relations,0,1518.0,570.0,652.0,31.0
4576,Technical Recruiter,IE,0,1,1,Full-time,Associate,Bachelor's Degree,Staffing and Recruiting,Human Resources,0,905.0,1211.0,139.0,111.0
4577,Senior Sales Professionals,US,0,0,0,,,High School or equivalent,,Sales,1,1475.0,,,
4578,Service Associate,US,0,1,1,Full-time,Entry level,High School or equivalent,Financial Services,,1,566.0,397.0,539.0,177.0
4579,Administrative Assistant,US,0,0,0,Full-time,Associate,Bachelor's Degree,Education Management,Administrative,0,1961.0,,80.0,297.0
4580,RGN/RMN's,GB,0,1,0,,,,,,0,896.0,247.0,,
4581,Car Sales Executive ,GB,0,1,1,Full-time,Associate,High School or equivalent,Automotive,Sales,0,463.0,1557.0,502.0,286.0
4582,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4583,Senior Software Tester,GB,0,0,1,Full-time,Mid-Senior level,Unspecified,Automotive,Information Technology,0,3421.0,,1264.0,108.0
4584,Office Manager,US,0,1,1,Full-time,Mid-Senior level,,Apparel & Fashion,Administrative,0,869.0,,194.0,
4585,Data Analyst,GR,0,1,1,Full-time,Associate,Master's Degree,Marketing and Advertising,Data Analyst,0,788.0,640.0,874.0,854.0
4586,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4587,Project Executive / Research Analyst,AU,0,1,1,Full-time,Entry level,Bachelor's Degree,Wine and Spirits,Data Analyst,0,1713.0,1228.0,743.0,304.0
4588,Data Analyst Intern,GR,0,1,1,Full-time,Associate,Bachelor's Degree,Marketing and Advertising,Data Analyst,0,986.0,640.0,608.0,852.0
4589,Web design intern,US,1,1,0,,,,,,1,264.0,721.0,30.0,
4590,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4591,Graduates: English Teacher Abroad ,US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,332.0,53.0,152.0,19.0
4592,Software and systems developer,GR,0,0,1,,,,,,0,353.0,,214.0,102.0
4593,Code Compliance Officer,US,0,1,1,Full-time,Entry level,High School or equivalent,Public Safety,Public Relations,1,993.0,397.0,507.0,160.0
4594, MAIL CLERK,US,0,1,1,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,1,1411.0,397.0,709.0,355.0
4595,Senior J2EE Analyst Developer  ,BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,931.0,726.0,525.0,897.0
4596,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4597,"Producer, Bosnian Language",US,0,1,0,,,,,,0,339.0,1260.0,1283.0,
4598,Post for Assistant Director in Education,IN,0,0,0,Full-time,Mid-Senior level,Master's Degree,Education Management,,0,1920.0,,724.0,
4599,Mortgage Customer Service Coordinator (Call Center),US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Management Consulting,Customer Service,1,1130.0,397.0,737.0,21.0
4600,US Sales Account Executive (travel),US,0,0,0,Full-time,,,,Sales,0,1370.0,,394.0,
4601,Marketing Manager,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,,Marketing,0,473.0,452.0,318.0,54.0
4602,"Level I Basic Digital Media Logger, Broadcast Operations Division",US,0,1,0,,,,,,0,289.0,1260.0,950.0,
4603,M50 3XP Apprentice Recruitment Consultant government funding for 16-18 year olds only,GB,0,1,0,Full-time,,,,Consulting,0,631.0,831.0,56.0,17.0
4604,Psychiatric Nurse Practitioner,US,0,1,0,Part-time,Associate,Master's Degree,Mental Health Care,Health Care Provider,0,3373.0,589.0,429.0,
4605,Collection Representative II,US,0,1,1,Full-time,Entry level,High School or equivalent,Financial Services,Customer Service,1,1284.0,397.0,472.0,19.0
4606,Human Resources and Office Manager ,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Outsourcing/Offshoring,Human Resources,0,1816.0,574.0,934.0,784.0
4607,CALL CENTER REP,US,0,1,1,Full-time,Associate,High School or equivalent,Financial Services,Customer Service,1,1034.0,397.0,1397.0,446.0
4608,Country Manager,DE,0,1,1,,,,,,0,458.0,250.0,170.0,148.0
4609,Mechanic,GB,0,1,1,Full-time,,,Automotive,Engineering,0,1121.0,1557.0,240.0,484.0
4610,Product Manager,US,0,0,0,Full-time,,,Information Services,Engineering,0,376.0,,1802.0,
4611,Frontend Developer,GR,0,0,1,Full-time,Mid-Senior level,,Information Technology and Services,,0,997.0,,1143.0,435.0
4612,Technical Support Engineer - Mobile Augmented Reality,US,0,1,0,Full-time,Associate,Unspecified,Internet,Engineering,0,1262.0,1272.0,722.0,2164.0
4613,Intermediate/Senior .Net developer,NZ,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Engineering,0,2242.0,139.0,460.0,
4614,Project Manager,PL,0,1,1,Full-time,Not Applicable,Unspecified,,Project Management,0,266.0,268.0,1154.0,340.0
4615,Fabric Research & Development Assistant,US,0,1,0,Full-time,,Bachelor's Degree,Apparel & Fashion,,0,1318.0,,822.0,
4616,Associate Business Development,NL,0,0,0,Full-time,Entry level,,Information Technology and Services,Business Development,0,1089.0,,,
4617,Account Executive - Colorado,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2613.0,618.0,1433.0,786.0
4618,Part-Time Provisions Sourcing Associate,US,0,1,1,Part-time,Associate,,Online Media,,0,1121.0,885.0,430.0,
4619,Recruiting Intern,US,0,1,1,Other,,,Staffing and Recruiting,,0,1522.0,893.0,707.0,20.0
4620,Senior API/Services Engineer,US,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Logistics and Supply Chain,Engineering,0,588.0,,449.0,510.0
4621,Aberdeen DGV Apprenticeships Under NAS 18 Year Olds Only,GB,0,1,1,Full-time,Not Applicable,High School or equivalent,Logistics and Supply Chain,,0,718.0,831.0,110.0,58.0
4622,Regional Sales Manager,US,0,0,0,Full-time,,,Marketing and Advertising,,0,1198.0,228.0,,
4623,Hadoop consultant,US,0,1,0,Contract,,,,,0,163.0,575.0,50.0,
4624,UI / UX Designer Developer,US,1,1,1,Contract,Associate,,Computer Software,Design,0,1408.0,1256.0,1376.0,369.0
4625,Mid/Senior Developer,GB,0,1,0,Full-time,Mid-Senior level,,,,0,411.0,268.0,807.0,113.0
4626,Bank Mortgage Team Leader & Two Originators,US,0,1,0,,,,,,0,2477.0,688.0,,
4627,Call Center Supervisor,US,0,1,0,Full-time,Associate,Unspecified,Financial Services,Management,0,2441.0,1025.0,563.0,578.0
4628,Caregiver/HHA/CNA- Watervliet/Hartford,US,0,1,1,Part-time,,High School or equivalent,Hospital & Health Care,Health Care Provider,0,841.0,175.0,,271.0
4629,Chief Commercial Officer,GB,0,1,1,Full-time,Executive,Bachelor's Degree,Marketing and Advertising,Sales,0,2365.0,1520.0,4332.0,109.0
4630,Fraud and Payment Analyst,MT,0,0,1,,,,,,0,1528.0,,666.0,
4631,Front Desk/Office Assistant,US,0,0,1,,,,,,0,451.0,,370.0,
4632,Licensed Massage Therapist,US,0,0,0,,,,,,0,509.0,,130.0,17.0
4633,Graduates: English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,324.0,53.0,160.0,19.0
4634,"Producer, Tibetan Service ",US,0,1,0,,,,,,0,339.0,1260.0,1283.0,
4635,Marketing/Dealer Representative,US,0,1,1,Full-time,Associate,Unspecified,Financial Services,Sales,0,2219.0,1025.0,585.0,557.0
4636,Professional Services Specialist,GB,0,1,0,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Sales,0,2098.0,1000.0,673.0,
4637,Retail Branch Manager - Dual Site,GB,0,0,1,Full-time,Not Applicable,Unspecified,Automotive,Sales,0,1008.0,,1467.0,41.0
4638,Customer Service Apprenticeship 16-18 Year Olds Only,GB,0,1,1,Full-time,Not Applicable,High School or equivalent,,,0,652.0,831.0,62.0,20.0
4639,French Producer,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0,1242.0,1260.0,390.0,
4640,Automated Test Analyst,NZ,0,1,1,Full-time,Mid-Senior level,,Information Technology and Services,,0,1280.0,1981.0,,
4641,cook,GB,0,0,0,,,,,,0,272.0,,,
4642,Executive Assistant & Marketing Coordinator,CA,0,1,1,Full-time,,,Legal Services,,0,1342.0,489.0,1244.0,117.0
4643,Senior Test Analyst,NZ,0,0,1,Full-time,Mid-Senior level,Certification,Information Technology and Services,Information Technology,0,558.0,,342.0,124.0
4644,Journalism training organizers,,0,1,0,,,Master's Degree,,,0,1185.0,1260.0,,
4645,Director of Engineering (PGEngage),IN,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,369.0,2295.0,,1995.0
4646,Backend Software Engineer,IL,0,1,1,,,,Accounting,,0,529.0,570.0,178.0,
4647,"Program Host, Hausa Language",US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Broadcast Media,,0,562.0,1260.0,567.0,
4648,UI designer for mobile apps (x3),GR,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Art/Creative,0,1210.0,760.0,676.0,
4649,Sales/Dealer Representative ,US,0,1,1,Full-time,Associate,Unspecified,Financial Services,Sales,0,2775.0,1025.0,585.0,555.0
4650,Make Easy Money at Home ,US,0,1,0,,,,,,1,1455.0,47.0,31.0,153.0
4651,DRIVER ,CA,0,0,0,,,,,,0,305.0,,,
4652,DL4 1DT Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,GB,0,1,1,Full-time,Entry level,High School or equivalent,Real Estate,Administrative,0,668.0,831.0,68.0,17.0
4653, Agile Business Analyst,US,0,1,0,Full-time,Associate,Bachelor's Degree,Broadcast Media,Business Analyst,0,1575.0,1260.0,2059.0,
4654,Part Time Creative Project Manager,US,0,1,1,,,,,,0,1339.0,300.0,436.0,150.0
4655,Health Coach / Product Advisor,CA,0,0,0,,,,,,0,83.0,,113.0,31.0
4656,CALL CENTER MANAGER,US,0,0,1,Full-time,Director,Bachelor's Degree,"Health, Wellness and Fitness",Information Technology,0,998.0,,82.0,77.0
4657,Executive Director,US,0,0,1,,,,,,0,562.0,,2794.0,66.0
4658,Business Litigation Attorney Job in Orange County,US,0,0,1,,,,,,0,936.0,,452.0,686.0
4659,Principal Product Applications Engineer - MACsec/FCoE,,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,,0,414.0,737.0,1125.0,52.0
4660,Receptionist/Office Services Clerk,US,0,0,1,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,1,907.0,,438.0,97.0
4661,MSBI Architect with Tableau,,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,93.0,,136.0,
4662,Assistant Manager,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Management,0,2751.0,,717.0,863.0
4663,Graphic Designer: Fashion-driven Adobe Illustrator/Photoshop Magician,US,0,1,1,Full-time,Associate,Bachelor's Degree,Design,Design,0,1798.0,276.0,319.0,121.0
4664,JAVA/ J2EE Developers,US,0,0,0,,,,,,0,479.0,,,
4665,Accounting Manager,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Finance,0,1200.0,759.0,748.0,120.0
4666,Community Representative (Music),GB,0,1,1,Part-time,Entry level,High School or equivalent,Music,Marketing,0,897.0,600.0,483.0,360.0
4667,Wastewater Technician ,US,0,0,0,,,,,,0,2880.0,,,
4668,Human Resource Director,US,0,1,1,Full-time,Director,High School or equivalent,Human Resources,Human Resources,1,2045.0,791.0,971.0,12.0
4669,Associate Business Development,DK,0,0,0,Full-time,Entry level,,Information Technology and Services,Business Development,0,1098.0,,,
4670,Front-end Developer,FI,0,1,1,Full-time,Entry level,Associate Degree,Financial Services,Finance,0,211.0,1400.0,98.0,327.0
4671,Assistant Manager Corporate Finance & Planning,PK,0,0,1,,,,,,0,185.0,,389.0,
4672,Operations/ Admin Supervisor / Awesome Person Wanted ASAP!,CA,0,0,0,Full-time,Entry level,High School or equivalent,Real Estate,Administrative,0,699.0,860.0,164.0,88.0
4673,Caregiver- Saint Joseph/Benton Harbor,US,0,1,1,,,,,,0,488.0,175.0,,103.0
4674,Devops Software Engineer,NZ,0,1,0,Full-time,,,Computer Software,,0,2418.0,1810.0,,
4675,Bookkeeper FT/PT,US,0,0,0,,,,"Health, Wellness and Fitness",Accounting/Auditing,1,344.0,,1248.0,
4676,Administrative Assistant,US,0,0,1,,,,,,0,3656.0,,,
4677,English Teacher Abroad (Conversational),US,0,1,1,Contract,,Bachelor's Degree,Education Management,Education,0,456.0,53.0,118.0,19.0
4678,Mechanical Design Engineer,US,0,1,1,,,,,,0,295.0,693.0,182.0,224.0
4679,Design Music Streaming App,US,0,0,0,Contract,Mid-Senior level,,Computer Software,,0,667.0,,1021.0,379.0
4680,Optical Sales,US,0,0,0,Full-time,,,"Health, Wellness and Fitness",Sales,1,460.0,,300.0,
4681,FINANCIAL RESEARCHER - GRADUATE OPPORTUNITY,GB,0,1,0,Full-time,Entry level,Bachelor's Degree,Publishing,Financial Analyst,0,1779.0,355.0,549.0,668.0
4682,PR Specialist ,US,0,1,1,Full-time,Associate,Bachelor's Degree,Logistics and Supply Chain,Public Relations,0,1087.0,574.0,1178.0,
4683,General Manager (Alexandria - Egypt),GR,0,1,0,Contract,,,Food & Beverages,,0,1347.0,2794.0,179.0,199.0
4684,Freelance Danish speaker (m),DE,0,1,1,Other,,,E-Learning,Other,0,131.0,651.0,230.0,441.0
4685,Call Center Representative,US,0,1,1,Full-time,Associate,High School or equivalent,Financial Services,Customer Service,0,715.0,665.0,292.0,481.0
4686,Audiologist or Clinical Hearing Screener Required ,GB,0,0,0,,,,,,0,467.0,,153.0,249.0
4687,Principal Proposal Engineer-International,US,0,1,1,,,,,,0,2562.0,235.0,,
4688,Pedestrian Crane operator,GB,0,0,1,,,,,,0,184.0,,84.0,
4689,Enterprise Sales Executive,GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2270.0,1000.0,684.0,
4690,Designer / Developer (Hybrid),GB,0,1,1,,,,,,0,2492.0,560.0,1106.0,
4691,Customer Care Director ,GR,0,1,1,Full-time,Director,Bachelor's Degree,Information Technology and Services,Management,0,1532.0,760.0,1335.0,352.0
4692,Account Manager,GB,0,1,1,Full-time,,,,Sales,0,1358.0,412.0,,379.0
4693,Technology Sales to the Shopping/Retail Industry,US,0,0,1,Full-time,Associate,Unspecified,Retail,Sales,0,505.0,,279.0,142.0
4694,Accountant,GB,0,1,0,Full-time,,,,,0,566.0,,199.0,48.0
4695,Project Controller Oil and Gas Approval Center/Houston,US,0,0,0,Full-time,,,Oil & Energy,Project Management,1,3149.0,,224.0,
4696,Supply-Side Business Specialist,US,0,1,0,Full-time,,,,,0,1200.0,814.0,,
4697,Marketing Representative,US,0,1,1,Full-time,Associate,Unspecified,Financial Services,Sales,0,2000.0,1025.0,403.0,216.0
4698,Operations/Customer Care Intern,,0,1,1,,,,,,0,819.0,885.0,489.0,
4699,Experienced Sales/ Marketing Managers,US,0,1,1,Full-time,Entry level,Some High School Coursework,Oil & Energy,Customer Service,0,966.0,1202.0,306.0,
4700,Point Nine Talent Pool,,0,1,1,,,,,,0,247.0,736.0,,
4701,Director of People Operations,CN,0,1,1,Full-time,Director,Bachelor's Degree,Media Production,Management,0,1546.0,511.0,553.0,
4702,Sales Representative,US,0,0,0,Full-time,Associate,Unspecified,Financial Services,Sales,0,2572.0,,596.0,506.0
4703,Lead Software Engineer,US,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0,1246.0,542.0,1628.0,78.0
4704,SharePoint Designer/Developer,US,0,1,0,Full-time,Entry level,Associate Degree,Information Technology and Services,Information Technology,0,1154.0,4174.0,779.0,135.0
4705,PHP Developer,GR,0,1,0,,,,,,0,1458.0,2166.0,,
4706,UST Foreman,US,0,0,1,,,,,,0,3825.0,,,
4707,IOS Developer,IN,0,0,1,,,,,,0,223.0,,384.0,
4708,Python Engineer,GB,0,1,0,Full-time,Entry level,Unspecified,Apparel & Fashion,Information Technology,0,936.0,,714.0,90.0
4709,Executive Assistant - Senior Position,US,0,1,0,Full-time,Not Applicable,Bachelor's Degree,Financial Services,Administrative,0,823.0,422.0,699.0,128.0
4710,General Submissions,US,0,1,1,,,,,,0,179.0,607.0,,
4711, Marketing Guru ,US,1,0,1,,,,,,0,298.0,,224.0,127.0
4712,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
4713,Business Development Specialist,CA,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Legal Services,Business Development,0,606.0,489.0,1027.0,187.0
4714,Service Technician I,US,0,1,0,,,,,,0,1003.0,479.0,994.0,313.0
4715,Account Manager,GR,0,1,1,Full-time,Mid-Senior level,Master's Degree,Internet,Project Management,0,1042.0,760.0,750.0,202.0
4716,Journalism Intern,DE,0,0,0,,,,,,0,2338.0,,,
4717,Temp/Perm Consultant,GB,0,1,0,,,,,,0,939.0,56.0,,
4718,Jr. Account Executive,US,0,1,1,Full-time,Entry level,Bachelor's Degree,Information Technology and Services,Sales,0,685.0,409.0,489.0,89.0
4719,Senior Account Manager ,NZ,0,1,1,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0,1544.0,1981.0,260.0,
4720,SEM Manager,US,0,1,0,Full-time,,,,,0,1821.0,2313.0,1711.0,
4721,Technical Talent Specialist,NZ,0,1,1,Full-time,Associate,,Staffing and Recruiting,Human Resources,0,2240.0,1715.0,1458.0,967.0
4722,International Delivery Manager,GB,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Advertising,0,1232.0,1272.0,976.0,2161.0
4723,Network Administrator,US,0,1,1,,,,,,0,259.0,,2344.0,107.0
4724,Quality Engineer,US,0,1,0,Full-time,Mid-Senior level,,,,0,347.0,395.0,,
4725,Meeting Point Manager - International Tourism Company in Manhattan,US,0,1,1,Part-time,Not Applicable,,Marketing and Advertising,,0,2019.0,1058.0,,
4726,UX Designer,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,1730.0,,827.0,24.0
4727,Marketing Associate (full time or part time),GR,0,0,0,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0,2092.0,,2064.0,
4728,Production Supervisor,US,0,1,0,,,,,,0,259.0,395.0,98.0,
4729,HR Manager,GR,0,1,1,Full-time,Director,Master's Degree,Information Technology and Services,Human Resources,0,1508.0,760.0,498.0,352.0
4730,Customer Support Executives,IN,0,0,0,Full-time,Not Applicable,,Information Technology and Services,Customer Service,0,532.0,,239.0,866.0
4731,Media Buyer,GR,0,0,1,Full-time,,Bachelor's Degree,Gambling & Casinos,Marketing,0,817.0,,519.0,145.0
4732,Devops,EE,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,Information Technology,0,590.0,1569.0,491.0,137.0
4733,Office Manager,US,0,1,1,Other,Entry level,Unspecified,Internet,,0,944.0,814.0,,
4734,Quality Assurance Manager,GB,0,1,0,,,,,,0,1973.0,234.0,506.0,78.0
